ID	MSLG	SPA
889.0	dm-ANA SUYO PERRO ABANDONAR YA	Ana abandonó a su perro.
135.0	CANCÚN HABER CRUCERO	En Cancún hay un crucero.
200.0	YO YA VISITAR MURAL dm-DIEGO-RIVERA	Visité el mural de Diego Rivera.
708.0	GOBIERNO CUIDAR PERSONA	El gobierno cuida a los ciudadanos.
965.0	ESTADOS UNIDOS DIFÍCIL VIVIR	Vivir en Estados Unidos es difícil.
146.0	CASA AMIGO DETRÁS MI CASA	La casa de mi amigo está detrás de la mía.
204.0	TODOS-LUNES ALUMNOS CANTAR HIMNO NACIONAL	Los alumnos cantan el himno nacional los lunes.
972.0	LLUVIA TUBO ROMPER	Con la lluvia el tubo se rompió.
182.0	COMIDA MENOS YO QUERER	Yo quiero menos comida.
251.0	NUEVA ALMOHADA YO YA COMPRAR ¡SUERTE!	Compré una almohada nueva, ¡qué suerte!
863.0	COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD	Compraré la cena de Navidad en la Comercial Mexicana.
751.0	AYER YO PERDER MI LIGA	Ayer perdí mi liga.
850.0	CHINA HABER MUCHAS PERSONAS	En China hay sobrepoblación.
217.0	ODONTOLOGÍA YO PENSAR ESTUDIAR	Pienso estudiar odontología.
494.0	MESA FIERRO PESADO	La mesa de fierro está muy pesada.
939.0	IMPUESTOS PAGAR TUYO OBLIGACIÓN	Es tu obligación pagar impuestos.
600.0	RASURADORA YO QUERER COMPRAR	Quiero comprar una rasuradora.
293.0	BARCO CAPITÁN él INTELIGENTE	El capitán del barco es muy inteligente.
311.0	ELLOS PERSONA ENFERMO TU ENFRENTARSE TÚ CONTAGIAR PODER	No te juntes con personas enfermas te pueden contagiar.
165.0	NOSOTROS PARA EXAMEN NOSOTROS ESTUDIAR	Estudiamos para el examen.
412.0	SEMANA PASADA YO PEDIR AVENTÓN LUGAR CASETA	La semana pasada pedí un aventón a la caseta.
451.0	SAPO YA CONVERTIR PERSONA PRÍNCIPE	El sapo se convirtió en príncipe.
363.0	DIARIO MI HERMANO AGENDA REVISAR	Mi hermano revisa su agenda diario.
502.0	SEXTO-Primaria MI HIJO YA REPROBAR	Mi hijo reprobó el sexto de primaria.
924.0	MI PRIMO UNIVERSIDAD YA INGRESAR	Mi primo ingresó a la universidad.
541.0	IGLESIA CAMPANA GRANDE	En la iglesia hay una campana muy grande.
823.0	¡CAFÉ CALIENTE!	¡El café está muy caliente!
361.0	ADVENTISTA TODOS-SÁBADOS DESCANSAR ELLOS DIOS ADORAR	Los Adventistas descansan los sábados y adoran a Dios.
619.0	YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR	Voy a estudiar hasta secundaria y después quiero trabajar.
547.0	NEZAHUALCÓYOTL MUCHO CHOLO	En Nezahualcóyotl hay muchos cholos
43.0	dm-ROSALÍA TRABAJAR ARCHIVO HOSPITAL	Rosalía trabaja en el archivo del hospital.
307.0	YO TENER TRABAJO YA CONTENTO YO	Ya tengo trabajo, estoy contento.
931.0	DOMINGOS DOMINGOS MI CASA NO-HAY-NADIE	No hay nadie en mi casa los domingos.
712.0	ÉL GRAVE	Él está muy grave.
71.0	#VGT, #LSFB AMBOS SU LENGUA-DE-SEÑAS SU PAÍS BÉLGICA	En Bélgica hay dos lenguas de señas: VGT y LSFB.
631.0	SUIZA DIFERENTE DIFERENTE IDIOMA HABLAR	En Suiza se hablan diferentes idiomas.
539.0	DIARIO PARQUE dm-SALVADOR BOX EJERCER	Salvador entrena box diario en el parque.
536.0	AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR	En diciembre del año pasado, mi jefe viajó a Bogotá.
256.0	ESE PROFESOR SIEMPRE AMARGADO ESO ¡FEO!	Ese profesor siempre está amargado, ¡qué feo!
633.0	CARNE YO COMPRAR SUPERMERCADO	Yo compro carne en el supermercado.
795.0	SIEMPRE YO ACOSTUMBRAR SUBIR-COCHE TAXI	Acostumbro usar taxi siempre.
747.0	ESE LIBRO YO GUSTAR	Ese libro me gusta.
446.0	AYER CINE MI PRIMO YA ÉL CONQUISTAR ELLA MI AMIGO+MUJER	Ayer mi primo conquistó a mi amiga en el cine.
117.0	CARRERA MEDICINA CONCENTRACIÓN A-FUERZA	La medicina es una carrera que exige concentración.
686.0	HOSPITALacá TODA ENFERMERA AMABLE	Todas las enfermeras del hospital son muy amables.
110.0	YO CLAVADO HÁBIL YO	Soy muy bueno para los clavados.
154.0	MI HERMANO+MUJER YA EMBARAZADA	Mi hermana está embarazada.
358.0	ADÁN PRIMER HOMBRE MUNDO DIOS HACER	Adán es el primer hombre creado por Dios en el mundo.
348.0	ABRIL CUMPLEAÑOS MI TÍO+MUJER NOSOTROS HACER FIESTA	El cumpleaños de mi tía es en abril y le haremos fiesta.
806.0	YO YA COMPRAR NUEVA ALMOHADA PARA CAMA	Compré una almohada nueva para la cama.
876.0	MALTRATO ANIMAL CRIMEN	El maltrato animal es un crimen.
211.0	VACACIONES dm-LUIS IR PANAMÁ	Luis fue de vacaciones a Panamá.
346.0	MI HIJO YO ABANDONAR	Yo abandoné a mi hijo.
913.0	DESIERTO DIFÍCIL VIVIR	Vivir en el desierto es difícil.
312.0	AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE	Compré este celular ayer pero está muy corriente.
702.0	AÑO-PASADO MI GENERACIÓN GRADUAR	Mi generación se graduó el año pasado.
63.0	YO IR BAÑO	Voy al baño.
691.0	ÉL MI EX NOVIO	Él es mi ex novio.
898.0	CINE MI AMIGO ÉL BESAR MÍ YA	Mi amigo me besó en el cine.
717.0	¿TÚ GRUPO NÚMERO CUÁL?	¿Cuál es el número de tu grupo?
419.0	MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO	Mañana habrá descuentos en bolsas de mano en Liverpool.
399.0	LUGAR TOKIO SU ASIA	Tokio se ubica en Asia.
208.0	FRASCO DULCES NO-HAY	No hay dulces en el frasco.
970.0	TABLE-DANCE MUJER DIFERENTE BAILA MESA	En el table dance, las mujeres bailan sobre la mesa
587.0	MALETA TÚ PODER LLEVAR	Puedes llevar una maleta.
495.0	NIÑO NIÑO TENER PIOJO	Los niños tienen piojos.
606.0	COMIDA FALTA SAL POQUITO	A la comida le faltó un poco de sal.
193.0	ROPA NUEVA YO COMPRAR YO MODA-DE-ROPA	Compraré ropa nueva. Yo estoy a la moda.
548.0	CUATRO CILINDRO MI CARRO USAR	Mi carro usa cuatro cilindros.
152.0	HOMBRE EGIPCIO NO RESPONDER	El egipcio no respondió.
905.0	HOY YO ARROZ COMER	Hoy no comí arroz.
14.0	MI HERMANO ACTIVO	Mi hermano es activo.
112.0	MI TÍO+MUJER DELICIOSO COCINAR	Mi tía cocina delicioso.
53.0	dm-LUZ BABY-SHOWER MAÑANA	Mañana será el Baby Shower de Luz.
42.0	dm-JUANA SU AMIGO ÁRABE	El amigo de Juana es árabe.
104.0	MI TÍO TENER CASA CUERNAVACA	Mi tío tiene una casa en Cuernavaca.
928.0	YO TENER ESCUELA MUCHO AMIGO AMIGO	Tengo muchos amigos en la escuela.
78.0	AYER YO PASEAR SENTIR BIEN	Ayer fui a pasear y me senti muy bien
664.0	MÍ MAMÁ COMPRAR CALZÓN	Mi mamá me compró un calzón.
893.0	YO DECIR NO-PODER YO DEBER AGUANTAR	No puedo decirlo, debo aguantarme.
335.0	AYER SU ROPA SUCIA MI HERMANO LAVAR	Ayer mi hermano lavó su ropa sucia.
192.0	MI JEFE ÉL PAGAR MÍ SUELDO MITAD	Mi jefe me pagó la mitad del sueldo.
16.0	JEHOVÁ YO ADORAR	Adoro a Jehová.
966.0	YO NO-FUI COMPUTADORA NO-SIRVE	Yo no fui quien descompuso la computadora.
567.0	POLVO YO MUCHO ESTORNUDAR	Con mucho polvo, yo estornudo mucho.
322.0	YO SUERTE LOGRAR YO PODER	Yo tuve suerte, lo pude lograr.
479.0	NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ	Me mandas un mensaje de whatsapp en la noche.
714.0	TROMBÓN SONIDO GRAVE TENER	El trombón tiene un sonido muy grave.
138.0	MÉXICO BIBLIOTECA GRANDE	La Biblioteca de México es muy grande.
181.0	MADRUGADA EXPLOSIÓN YO ESCUCHAR	En la madrugada escuché una explosión.
329.0	PULPO YO YA COMER DELICOSO	Yo comí pulpo, es delicioso.
729.0	YO YA SABER LEER INGLÉS IDIOMA	Yo sé leer en idioma inglés.
578.0	TÚ HURAÑO TÚ	Eres un huraño con todos.
238.0	A-VECES YO IR CASA SIEMPRE NO	No siempre voy a casa, sólo a veces.
344.0	COLADERA TÚ A-SALVO CAER	Estuviste a salvo de caer en la coladera.
822.0	SU #SEP CALENDARIO AGOSTO TERMINAR	El calendario de la SEP termina en agosto.
473.0	LLANTA COCHE TÚ DEBER CAMBIAR	Debes cambiar la llanta del coche.
628.0	dm-ALICIA YA VIAJAR SUDÁFRICA	Alicia viajó a Sudáfrica.
83.0	dm-SANTIAGO MONEDA GUARDAR-BOLSILLO	Santiago guarda en su bolsillo una moneda.
212.0	MOCHILA ROJA HABER DOS PAÑAL	En la mochila roja hay dos pañales.
349.0	MÍ ABUELO+MUJER 90 EDAD	Mi abuela tiene 90 años.
855.0	CINTURÓN-DE-SEGURIDAD MI AUTO NO-HAY	Mi auto no tiene cinturón de seguridad.
554.0	ESE HOMBRE JOVEN BUEN CORREDOR	Ese muchacho es muy buen corredor.
468.0	IRÁN BANDERA COLOR VERDE BLANCO ROJO	Los colores de la bandera de Irán son verde blanco y rojo.
596.0	#TV PUBLICIDAD HABER MUCHO	En la TV hay mucha publicidad.
570.0	FRONTERA TIJUANA MÍ TÍO VIVIR	Mi tío vive en la frontera, en Tijuana.
326.0	dm-AIMÉ SALTAR PARACAIDAS	Aimé saltó en paracaídas.
977.0	dm-EDGAR FUTURO MAESTRO	Edgar será maestro.
106.0	POLICÍA AMBULANCIA PASO ÉL CEDER	El policía cedió el paso a la ambulancia.
261.0	YO QUERER APRENDER MUCHO COSA	Yo quiero aprender muchas cosas.
82.0	SUÉTER BLANCO YO PERDER	Perdí el suéter blanco.
964.0	TODAVÍA MI TAREA YO NO TERMINAR	No termino mi tarea todavía.
721.0	GUERRERO ESTADO BONITO	Guerrero es un estado bonito.
524.0	CANTAR+MUJER dm-MADONNA ELLOS ADMIRAR ELLA	Ellos admiran a la cantante Madonna.
240.0	YA MUCHO ÉL ABUSAR YO	Él ya abusó mucho de mí.
22.0	AHORA TÚ RECÁMARA TÚ LIMPIAR	Ahora tú limpia tu recámara.
173.0	DINERO NADA ESO GRATIS	Eso no cuesta nada, es gratis.
544.0	TODOS-SÁBADOS MI AMIGO+MUJER SUYO NOVIO CASINO IR	Mi amiga y su novio van los sábados al casino.
416.0	PARQUE ADENTRO AZCAPOTZALCO NOSOTROS IR	Vamos al parque de Azcapotzalco.
374.0	ÁLVARO OBREGÓN YO VIVIR	Yo vivo en la Delegación Álvaro Obregón.
534.0	BERLÍN CAPITAL SU ALEMANIA	Berlín es la capital de Alemania.
797.0	UNIVERSIDAD GALLAUDET FAMOSA	La Universidad Gallaudet es muy famosa.
0.0	TARDE ¿POR QUÉ?	¿Por qué llegaste tarde?
866.0	CONGRESO NUEVA LEY APROBAR YA	El Congreso aprobó la nueva ley.
244.0	TÚ YA DEBER RESPONSABLE TÚ YA ADULTO	Tú ya debes ser responsable, ya eres un adulto.
760.0	ESE CARRO NUEVO LUJOSO	Ese carro nuevo es muy lujoso.
782.0	MUCHOS POLICÍA HABER MANIFESTACIÓN	Hay muchos policías en la manifestación.
838.0	PRÓXIMO-DOMINGO MI HERMANO+MUJER CASAR	Mi hermana se casa el próximo domingo.
904.0	PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN	Las próximas vacaciones iré de viaje a Ciudad Obregón.
589.0	TÚ MALO NO DEBER	No debes ser malo.
648.0	PAYASO ZAPATO SUYO COLOR AMARILLO	Los zapatos del payaso son amarillos.
771.0	OJALÁ TÚ ÉXITO	Ojalá tengas éxito.
540.0	CAJÓN HOJAS BLANCAS HAY	Hay hojas blancas en el cajón.
755.0	¿DÓNDE TUYO LOCAL?	¿Dónde está tu local?
452.0	MI CRONÓMETRO YA PERDER	Mi cronómetro se perdió.
119.0	DOMINGO IGLESIA YO IR CONFESAR YO	El domingo me iré a confesar a la iglesia.
386.0	dm-TOMÁS APÓSTOL JESÚS	Tomás fue un apóstol de Jesús.
38.0	dm-JUAN ASUNTO APARTE	Con Juan, es un asunto aparte.
77.0	DIARIO BIBLIA dm-ARTURO LEER	Arturo lee la biblia diariamente.
318.0	TÚ ENOJAR NO POR-FAVOR	No te enojes, por favor.
615.0	#TV NOTICIA FEA LUGAR SANTIAGO-DE-CHILE	En la TV vi una noticia fea que pasó en Santiago de Chile.
719.0	AÑO-PASADO YO VIAJAR GUANAJUATO	El año pasado viajé a Guanajuato.
791.0	MI HERMANO+MUJER SNORKELING ELLA PRACTICAR	Mi hermana practica snorkeling.
756.0	ESE HOMBRE LOCO PARECER	Ese hombre parece loco.
979.0	SOPA CALIENTE	La sopa está caliente.
4.0	¿QUÉ-PASO?	¿Qué te pasó?
937.0	MÉXICO PAPA Él REGAÑAR OBISPO	El papa regañó a los obispos en México.
281.0	ESO BONITO SÍ YO GUSTAR	Eso es muy bonito, sí me gusta.
953.0	MI PAPÁ LLENAR-FORMATO PARA MANEJO LICENCIA TRAMITAR	Mi papá llena el formato para tramitar su licencia de manejo.
51.0	dm-MARIBEL DIPLOMA NIVEL AVANZADO	Maribel cursa el nivel avanzado en el diplomado.
405.0	AUSTRALIA DECIR HABER MUCHO CANGURO	Dicen que en Australia hay muchos canguros.
15.0	ANTES ADOLFO-LÓPEZ-MATEOS ÉL PRESIDENTE MÉXICO	Adolfo López Mateos fue presidente de México.
456.0	YA TÚ DECIR MÍ NO ELUDIR PREGUNTA	Ya dime la verdad, no eludas la pregunta.
216.0	dm-MIGUEL PECHO ÉL DOLER	Miguel tiene dolor en el pecho.
108.0	MI ABUELO+MUJER HACER RICO CHOCOLATE	Mi abuela hace un chocolate muy rico.
662.0	BRASILIA BONITO	Brasilia es bonita.
228.0	dm-JUANA LSM ELLA SABER	Juana sabe LSM.
807.0	ALMOHADA CÓMODA ALMOHADA PARA DORMIR	La almohada es muy cómoda para dormir.
872.0	MUCHO PERSONA CORÁN ELLOS CREER	Muchas personas creen en el Corán.
250.0	ESE SUAVE PARECE ALGODÓN	Eso es muy suave, parece algodón.
946.0	MARATÓN MI PRIMO MEDALLA ORO YA GANAR	Mi primo ganó medalla de oro en el maratón.
766.0	YO AVISAR TI ME-LA-VAS-A-PAGAR ME-LA-VAS-A-PAGAR	Te aviso, me las vas a pagar.
373.0	ÉL BUENO ALUMNO Él	Él es un buen alumno.
681.0	YO NECESITAR DINERO PAGAR GASOLINA	Necesito dinero para poder pagar la gasolina.
218.0	CAJA PEQUEÑA SU COLOR ROJO	La caja pequeña es de color rojo.
674.0	CORONA-DE-OLIVO ELLOS PONER ÉL	Le pusieron la corona de olivo.
711.0	COMIDA TENER MUCHO GRASA	La comida tiene mucha grasa.
516.0	PLAYA TORTUGA HABER	Hay una tortuga en la playa.
357.0	BIBLIA DENTRO ADÁN NOMBRE HABER	En la biblia está el nombre de Adán.
636.0	MI TARJETA-DE-CRÉDITO YO PAGAR	Yo pago con mi tarjeta de crédito.
387.0	¿CÓMO SEÑA dm-APÓSTOLES?	¿Cómo haces la seña de apóstoles?
891.0	SU HIJO ÉL ABANDONAR	Él abandonó a su hijo.
377.0	YO SIEMPRE ORAR YO DECIR AMÉN	Siempre que rezo digo amén.
579.0	MI COMPAÑERO DENTRO TRABAJO INSISTIR DESEAR DESEAR FIESTA	Mi compañero de trabajo insiste en hacer una fiesta.
834.0	ELLA CARA BONITA	Ella tiene una cara bonita.
148.0	SIEMPRE ÉL DISTRAÍDO	Él siempre está muy distraído.
231.0	ESTA SERVILLETA SUCIA	Esta servilleta está sucia.
257.0	ANIMAL DIFERENTES DIFERENTES BONITO VERDAD	Los animales son muy bonitos en verdad.
623.0	SEMANA PASADA, YO IR PLAZA UNIVERSIDAD	La semana pasada fui a Plaza Universidad.
87.0	BOSNIA-HERZEGOVINA ESE PAÍS LEJOS	Bosnia y Herzegovina es un país muy lejano.
499.0	HOY MÍ CELULAR YO YA TENER SALDO	Hoy mi celular ya tiene saldo.
900.0	ELLA TENER CABELLO-LACÍO	Ella tiene cabello lacio.
532.0	AÑO-PASADO UNIVERSIDAD YO TERMINAR	El año pasado terminé la universidad.
460.0	ESTONIA FRONTERA RUSIA	Estonia tiene una frontera con Rusia.
565.0	MERCADO BARATA MUCHA ESCOBA DIFERENTE VENDER	En el mercado venden muchas escobas baratas.
920.0	dm-PABLO FLOJO	Pablo es flojo.
783.0	POLICÍA AGENTE NOSOTROS PROTEGER MÍ	La policia judicial nos protege.
107.0	TODO-SÁBADO TODO-SÁBADO CEPAMEX dm-RAÚL ENTRENAR	Raúl entrena los sábados en CEPAMEX.
694.0	ÉL EJERCER EJERCER FORTALECER	Él hace mucho ejercicio para fortalecerse.
594.0	MI MAMÁ COCINA OLLA-EXPRÉS POLLO CALDO SABROSO	Mi mamá cocina en la olla express caldo de pollo sabroso.
436.0	SEMANA PASADA CINTA CANELA YO COMPRAR CENTRO	La semana pasada compré cinta canela en el Centro.
605.0	LUGAR FABRICA SABRITAS HAY TRABAJO PARA PERSONAS	En la fábrica de Sabritas buscan personal para trabajar.
397.0	CONSTITUCIÓN TENER MUCHOS ARTÍCULOS	La Constitución tiene muchos artículos.
727.0	HUNGRÍA ESE PAÍS LEJOS	Hungría es un país que está muy lejos.
470.0	YO IR TIENDA COMPRAR JABÓN YA	Fui a comprar jabón a la tienda.
319.0	BANDERA MÉXICO ESCUDO ESE MUCHO BONITO	El escudo de la bandera de México es muy bonito.
225.0	PRÓXIMO CONFERENCIA LUGAR MONTERREY	La próxima conferencia será en Monterrey.
233.0	dm-MARÍA dm-DANIEL AMBOS IR TEATRO	María y Daniel van al teatro.
689.0	MI ABUELO TENER RIFLE VIEJO	Mi abuelo tiene un rifle viejo.
762.0	ELLA TENER LUNAR BONITO	Ella tiene una lunar bonito.
242.0	AYER ADIÓS TÚ DECIR NADA	Ayer no me dijiste adiós.
693.0	CUADERNO FEO	El cuaderno es feo.
744.0	LEY ROBAR PROHIBIR	La ley prohíbe robar.
55.0	dm-MARIANA BAILAR ELLA GUSTAR	A Mariana le gusta bailar.
381.0	ANTIER PALACIO-DE-LOS-DEPORTES dm-MAGNETO CANTAR AUDITORIO YO IR	Antier fui a un concierto de Magneto en el Palacio de los Deportes.
896.0	PAYASO MUCHO MAQUILLAJE	El payaso usa mucho maquillaje.
809.0	AYER MAMÁ PREPARAR ATOLE	Ayer mi mamá preparó atole.
199.0	SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR	Me pasé un semáforo, ahora tengo que pagar una multa.
968.0	MONTAÑA RUSA TÚ COBARDE NO	Súbete a la montaña rusa, no seas cobarde.
919.0	YO EMOCIONADO NUEVO INGRESAR TRABAJO	Estoy emocionado por ingresar a mi nuevo trabajo.
974.0	ANTES dm-MIGUEL NOVIO	Miguel fue mi novio.
28.0	dm-SARA MUCHA ALMEJA ADENTRO MAR ELLA ENCONTRAR	Sara encontró muchas almejas en el mar.
963.0	MI PERRO SUMISO MOLESTAR	Mi perro es sumiso, no molesta.
133.0	FRESAS CON CREMA YO GUSTAR	Me gustan las fresas con crema.
378.0	IGLESIA NOSOTROS-DE-DOS DECIR AMÉN	En la iglesia decimos amén.
505.0	PERRO MUCHO SED	El perro tiene mucha sed.
